# r  u  V_H  V_eff
1.950000000010e-01 6.327581672441e-01 1.588350440488e+00 1.588350440488e+00
1.960000000010e-01 6.347877314978e-01 1.587513934560e+00 1.587513934560e+00
1.970000000010e-01 6.368075221406e-01 1.586675485061e+00 1.586675485061e+00
1.980000000010e-01 6.388175729757e-01 1.585835108302e+00 1.585835108302e+00
1.990000000010e-01 6.408179176952e-01 1.584992820506e+00 1.584992820506e+00
2.000000000010e-01 6.428085898803e-01 1.584148637809e+00 1.584148637809e+00
2.010000000010e-01 6.447896230016e-01 1.583302576261e+00 1.583302576261e+00
2.020000000010e-01 6.467610504193e-01 1.582454651826e+00 1.582454651826e+00
2.030000000010e-01 6.487229053840e-01 1.581604880384e+00 1.581604880384e+00
2.040000000010e-01 6.506752210366e-01 1.580753277729e+00 1.580753277729e+00
2.050000000010e-01 6.526180304087e-01 1.579899859570e+00 1.579899859570e+00
2.060000000010e-01 6.545513664231e-01 1.579044641533e+00 1.579044641533e+00
2.070000000010e-01 6.564752618941e-01 1.578187639160e+00 1.578187639160e+00
2.080000000010e-01 6.583897495277e-01 1.577328867910e+00 1.577328867910e+00
2.090000000010e-01 6.602948619220e-01 1.576468343158e+00 1.576468343158e+00
2.100000000010e-01 6.621906315677e-01 1.575606080198e+00 1.575606080198e+00
2.110000000010e-01 6.640770908482e-01 1.574742094241e+00 1.574742094241e+00
2.120000000010e-01 6.659542720399e-01 1.573876400417e+00 1.573876400417e+00
2.130000000010e-01 6.678222073129e-01 1.573009013774e+00 1.573009013774e+00
2.140000000010e-01 6.696809287309e-01 1.572139949281e+00 1.572139949281e+00
2.150000000010e-01 6.715304682517e-01 1.571269221825e+00 1.571269221825e+00
2.160000000010e-01 6.733708577277e-01 1.570396846212e+00 1.570396846212e+00
2.170000000010e-01 6.752021289059e-01 1.569522837171e+00 1.569522837171e+00
2.180000000010e-01 6.770243134285e-01 1.568647209351e+00 1.568647209351e+00
2.190000000010e-01 6.788374428332e-01 1.567769977321e+00 1.567769977321e+00
2.200000000010e-01 6.806415485531e-01 1.566891155572e+00 1.566891155572e+00
2.210000000010e-01 6.824366619178e-01 1.566010758517e+00 1.566010758517e+00
2.220000000010e-01 6.842228141531e-01 1.565128800493e+00 1.565128800493e+00
2.230000000010e-01 6.860000363815e-01 1.564245295757e+00 1.564245295757e+00
2.240000000010e-01 6.877683596227e-01 1.563360258492e+00 1.563360258492e+00
2.250000000010e-01 6.895278147935e-01 1.562473702801e+00 1.562473702801e+00
2.260000000010e-01 6.912784327087e-01 1.561585642714e+00 1.561585642714e+00
2.270000000010e-01 6.930202440809e-01 1.560696092184e+00 1.560696092184e+00
2.280000000010e-01 6.947532795212e-01 1.559805065089e+00 1.559805065089e+00
2.290000000010e-01 6.964775695391e-01 1.558912575231e+00 1.558912575231e+00
2.300000000010e-01 6.981931445434e-01 1.558018636339e+00 1.558018636339e+00
2.310000000010e-01 6.999000348418e-01 1.557123262065e+00 1.557123262065e+00
2.320000000010e-01 7.015982706421e-01 1.556226465991e+00 1.556226465991e+00
2.330000000010e-01 7.032878820516e-01 1.555328261623e+00 1.555328261623e+00
