# r  u  V_H  V_x  V_eff
7.400000000100e-02 2.983449815336e-01 3.249666313084e+00 -1.351829281704e+00 1.897837031380e+00
7.500000000100e-02 3.017788940724e-01 3.248797349076e+00 -1.350047049559e+00 1.898750299517e+00
7.600000000100e-02 3.051981699848e-01 3.247919297980e+00 -1.348267480918e+00 1.899651817062e+00
7.700000000100e-02 3.086028581559e-01 3.247032219530e+00 -1.346490572742e+00 1.900541646788e+00
7.800000000100e-02 3.119930073373e-01 3.246136173153e+00 -1.344716321986e+00 1.901419851167e+00
7.900000000100e-02 3.153686661464e-01 3.245231217973e+00 -1.342944725595e+00 1.902286492379e+00
8.000000000100e-02 3.187298830671e-01 3.244317412814e+00 -1.341175780505e+00 1.903141632309e+00
8.100000000100e-02 3.220767064495e-01 3.243394816197e+00 -1.339409483648e+00 1.903985332549e+00
8.200000000100e-02 3.254091845103e-01 3.242463486343e+00 -1.337645831942e+00 1.904817654401e+00
8.300000000100e-02 3.287273653325e-01 3.241523481176e+00 -1.335884822301e+00 1.905638658875e+00
8.400000000100e-02 3.320312968662e-01 3.240574858323e+00 -1.334126451630e+00 1.906448406693e+00
8.500000000100e-02 3.353210269277e-01 3.239617675117e+00 -1.332370716828e+00 1.907246958290e+00
8.600000000100e-02 3.385966032008e-01 3.238651988596e+00 -1.330617614782e+00 1.908034373813e+00
8.700000000100e-02 3.418580732359e-01 3.237677855504e+00 -1.328867142377e+00 1.908810713127e+00
8.800000000100e-02 3.451054844506e-01 3.236695332296e+00 -1.327119296487e+00 1.909576035809e+00
8.900000000100e-02 3.483388841299e-01 3.235704475137e+00 -1.325374073979e+00 1.910330401158e+00
9.000000000100e-02 3.515583194261e-01 3.234705339903e+00 -1.323631471715e+00 1.911073868188e+00
9.100000000100e-02 3.547638373588e-01 3.233697982183e+00 -1.321891486547e+00 1.911806495636e+00
9.200000000100e-02 3.579554848157e-01 3.232682457280e+00 -1.320154115323e+00 1.912528341956e+00
9.300000000100e-02 3.611333085519e-01 3.231658820212e+00 -1.318419354883e+00 1.913239465330e+00
9.400000000100e-02 3.642973551904e-01 3.230627125717e+00 -1.316687202059e+00 1.913939923658e+00
9.500000000100e-02 3.674476712225e-01 3.229587428247e+00 -1.314957653677e+00 1.914629774570e+00
9.600000000100e-02 3.705843030075e-01 3.228539781976e+00 -1.313230706559e+00 1.915309075417e+00
